,text,translit,pos_bef1,pos_bef2,pos_bef3,pos_aft1,pos_aft2,pos_aft3
0,мы вообще друг друга не знаем дэмн,дэмн,VERB,PRCL,NOUN,,,
1,гоу офф ай гесс?? у кого-то очень близкая дружба,гоу офф ай гесс,,,,,PREP,NPRO
2,Нет нет ай гет ит,ай гет ит,PRED,PRED,,,,
3,энивей я тыщу лет буду монтировать видос,энивей,,,,NPRO,NOUN,NOUN
4,одна сатана фр,фр,NOUN,ADJF,,,,
5,в контексте виктора это плохой тейк,тейк,ADJF,PRCL,NOUN,,,
6,сейм я тоже сейчас вспомнила,сейм,,,,NPRO,PRCL,ADVB
7,энивей что я делал 6 ноября,энивей,,,,CONJ,NPRO,VERB
8,о дэмн,дэмн,PREP,,,,,
9,ахахах найс,найс,NOUN,,,,,
10,дэмн ты,дэмн,,,,NPRO,,
11,русреал орэндж из зе нью блэк где все точно так же но они все сидят потому что экстремистки,орэндж из зе нью блэк,NOUN,,,ADVB,PRCL,ADVB
12,всему свое время фр,фр,NOUN,ADJF,ADJF,,,
13,до сих пор помню  вы с владом зе вайтест пипл ай ноу мне без какой-либо эмоциональной окраски просто периодически всплывает в голове,зе вайтест пипл ай ноу,NOUN,PREP,NPRO,,NPRO,PREP
14,но еще это такой лоуки лавбомбинг теперь мне еще тяжелее стать достаточно злой,лоуки лавбомбинг,ADJF,PRCL,ADVB,ADVB,NPRO,ADVB
15,если я причиняла кому-то реальный физический вред мне хотелось сдохнуть но ю ду ю,ю ду ю,CONJ,INFN,VERB,,,
16,КТО-ТО ПОПРОСИЛ ИХ ПРЕПОДШУ ПЕРЕВЕСТИ кэн ю блоу май висл,кэн ю блоу май висл,,INFN,NOUN,,,
17,энивэй гугл за что,энивэй,,,,NOUN,PREP,CONJ
18,энивей Что это должно значить автор поста,энивей,,,,CONJ,PRCL,ADJS
19,а ну да ай донт рилли ду рис?рч ЧТО???,ай донт рилли ду рис?рч,PRCL,PRCL,CONJ,,CONJ,
20,там основная мысль сюжета понятна и без глубоко анализа ай гесс но хз мне вот щас надо посидеть обмозговать я не все штуки поняла,ай гесс,NOUN,ADVB,PREP,NPRO,PRCL,ADVB
21,не сильно много но там поинт про тупые однотипные застройки недостаток работы и прочее,поинт,ADVB,CONJ,ADVB,PREP,ADJF,ADJF
22,мы с ней лоуки лучшие подружки,лоуки,NPRO,PREP,NPRO,ADJF,NOUN,
23,я проучилась 15 лет думая что люди общаются со мной только потому что я могу помочь по учебе итс Бэд фор ми,итс Бэд фор ми,NOUN,PREP,INFN,,,
24,Простите ребята время смотреть перл и цитировать кул герл монолог,кул герл,INFN,CONJ,NOUN,NOUN,,
25,Люди говорят какого черта Эван кто мог настолько заварить кашу КАК ТЫ ДО ЭТОГО ДОШЕЛ бат ай гет ИТ ай гет ИТ я бы соврала ужасные вещи миллион раз ради подобия семьи которой у меня не было и ради симпатии со стороны того кто мне нравится,ай гет ИТ ай гет,NOUN,VERB,NPRO,NOUN,NPRO,PRCL
26,пересмотрела шепот сердца теперь кайнда в депрессии,кайнда,ADVB,NOUN,NOUN,PREP,NOUN,
27,они лоуки похожи звучанием еще пять таких песен и выйдет приличный плейлист,лоуки,NPRO,,,ADJS,NOUN,ADVB
28,лоуки дешевле чем в москве,лоуки,,,,COMP,CONJ,PREP
29,не лоуки,лоуки,PRCL,,,,,
30,лоуки копируешь меня но я приму,лоуки,,,,VERB,NPRO,CONJ
31,Иуда фр,фр,NOUN,,,,,
32,велл придется идти в магу,велл,,,,VERB,INFN,PREP
33,олсо ты как говорится не волшебник а только учишься,олсо,,,,NPRO,CONJ,VERB
34,надо вернуться к хед энд шолдерс,хед энд шолдерс,PREP,INFN,PRED,,,
35,ты был тайкой тамблер вайб поз,вайб,NOUN,NOUN,VERB,NOUN,,
36,да я бы даже сказала хайки,хайки,VERB,PRCL,PRCL,,,
37,нет хайки это японский стих,хайки,PRED,,,PRCL,ADJF,NOUN
38,лоуки у эльбруса очень красивые координаты???,лоуки,,,,PREP,NOUN,ADVB
39,ши контейнс малтитьюдс не поспоришь,ши контейнс малтитьюдс,,,,PRCL,VERB,
40,дети лоуки лохи почему мы стабильно болели каждую зиму и нуждались в постельном режиме,лоуки,NOUN,,,NOUN,ADVB,NPRO
41,сейм если честно,сейм,,,,CONJ,ADVB,
42,про тру адвенчер мне кажется ты говорила что хочется посмотреть после моих рассказов,тру адвенчер,PREP,,,NPRO,VERB,NPRO
43,интернет невероятное место 14 тысяч человек поняли что их обозвали лесбиянкой и геем словами зе секшуал теншн ин зис,зе секшуал теншн ин зис,NOUN,NOUN,CONJ,,,
44,нет мне кажется там просто воспринимать легче из-за живой подачи типа самфинг самфинг изобразительное искусство оно только в пространстве а выступления эти и в пространстве и во времени знаешь оно Идёт в него Вливаешься а с тем надо самостоятельно придумать как обойтись со стороны времени и это труднее,самфинг самфинг,NOUN,NOUN,ADJF,ADJF,NOUN,NPRO
45,удачи бести,бести,NOUN,,,,,
46,Типа дэмн она выпала из моей головы. Ничего не осталось кроме внезапного кажется я знаю что это,дэмн,NOUN,,,NPRO,VERB,PREP
47,велл технически я могу но Не Так,велл,,,,ADVB,NPRO,VERB
48,ай гесс по крайней мере это свидетельствовало о том что я слушаю? и она меня потом еще поблагодарила сказав что Я спасала курс????,ай гесс,,,,PREP,ADJF,NOUN
49,о дэмн я вообще не знала что вышел новый альбом,дэмн,PREP,,,NPRO,ADVB,PRCL
50,бести укради книгу просто так тебе никто ничего не скажет,бести,,,,VERB,NOUN,PRCL
51,дэмн твиттер сказал ты увидишь Все мнения,дэмн,,,,NOUN,VERB,NPRO
52,я анти сладости фр но тут уже по другой причине,фр,NOUN,NOUN,NPRO,CONJ,ADVB,ADVB
53,о боже оно фр работает если думать траслитом,фр,NPRO,NOUN,PREP,VERB,CONJ,INFN
54,почти сейм,сейм,ADVB,,,,,
55,Один вайб,вайб,ADJF,,,,,
56,я ненавижу то что у моего отца есть гейм,гейм,INFN,NOUN,ADJF,,,
57,велл пора менять приоритеты значит,велл,,,,NOUN,INFN,NOUN
58,человек еще не написал песни более ностальгической чем синс ай со виенна,синс ай со виенна,CONJ,ADJF,ADVB,,,
59,олсо что за неуважение к киномюзиклам,олсо,,,,CONJ,PREP,NOUN
